2542,興富發,72.45,3120,94038,0
2841,台開,17.25,1468,739,0
2547,日勝生,33.7,1179,7651,0
2002,中鋼,29.82,2091,13057,0
2542,興富發,46.85,10000,44133,0
2610,華航,11,50000,20550,0
